Paraula,Definicio
espectre solar,"['Conjunt de longituds d’ona de la radiació solar compreses entre 0,15 i 4 µm.']"
espectrofotòmetre,"['Instrument format per un espectròmetre i un fotòmetre, que s’utilitza per a mesurar la concentració d’ozó a l’atmosfera.']"
espessor baromètrica,['Diferència entre les altures geomètriques i geopotencials de dues superfícies isobàriques a l’atmosfera.']
espessor del núvol,['Distància vertical entre la base i el cim del núvol.']
espessor geopotencial,['Espessor baromètrica expressada en unitats de geopotencial.']
espessor òptica,['Valor de la massa d’aire que emet o absorbeix radiació i és continguda en una columna vertical de secció unitat entre dos nivells determinats de l’atmosfera.']
espiral d’Ekman,['Línia espiral que resulta del diagrama polar de l’extrem del vector vent per a altures diferents.']
esquelet,"['Nom genèric de les formes complicades dels cristalls de neu, disposats en estrelles de sis puntes fortament ramificades. Sembla que per a llur producció és necessari un alt grau de sobresaturació de l’aire relativament al glaç. Quan aquest grau de sobresaturació és petit, la sublimació és un procés més lent i els cristalls de la neu presenten formes més senzilles, de prismes hexagonals (plaques o agulles).']"
estabilitat atmosfèrica,['Condició d’equilibri que no és alterada per petits desplaçaments o pertorbacions. És un estat de l’atmosfera en què les parcel·les d’aire forçades a separar-se del seu nivell retornen al nivell de partida.']
estabilitat absoluta,"['Condició en la qual l’aire es troba en equilibri estable, qualsevol que sia el seu estat higromètric, per ésser el gradient tèrmic vertical observat inferior a l’adiabàtic saturat.']"
estabilitat,['Estabilitat atmosfèrica.']
estabilitat indiferent,"['Estat de l’atmosfera en el qual una bombolla d’aire, obligada a separar-se del seu nivell, resta en la nova posició.']"
estació,['Estació meteorològica.']
estació meteorològica,['Conjunt d’instal·lacions o d’instruments meteorològics utilitzat per a l’observació meteorològica.']
estació agrometeorològica,['Estació meteorològica amb instrumentació especialitzada per a la mesura de variables d’interès agrícola.']
estació de pluges,"['Període d’entre algunes setmanes a uns mesos de durada, caracteritzat per pluges continuades, quan aquest període s’esdevé cada any a la mateixa època. L’alternança d’aquesta estació amb l’estació seca és típica dels climes tropicals.']"
estació seca,"['Període d’entre algunes setmanes a uns mesos de durada, caracteritzat per absència de precipitacions permanent, quan aquest període s’esdevé cada any a la mateixa època. L’alternança d’aquesta estació amb l’estació de pluges és típica dels climes tropicals.']"
estacions de l’any,"['A les zones de climes temperats són quatre: primavera, estiu, tardor i hivern, que comencen a l’hemisferi nord respectivament els dies 21 de març, 21 de juny, 23 de setembre i 21 de desembre. En meteorologia és costum, als efectes de l’estadística, atribuir a cada estació tres mesos sencers; de manera que la primavera comprèn març, abril i maig; l’estiu, juny, juliol i agost; la tardor, setembre, octubre i novembre, i l’hivern, desembre, gener i febrer. A l’hemisferi austral les estacions són les contraposades, és a dir, el 21 de març comença la tardor, el 21 de juny l’hivern, i així successivament.']"
estat del cel,"['Fracció de cel tapada pels núvols, estimada en dècimes del cel visible des del lloc (0 = ras, 10 = cobert totalment de núvols).', 'A l’Atles internacional dels núvols s’anomena estat del cel la combinació d’espècies de núvols visibles, en relació amb els sistemes nuvolosos.']"
estat de la mar,"['Classe i dimensions de les onades, segons una escala convinguda per l’Organització Meteorològica Mundial. Els nostres mariners donen a l’estat de la mar noms poc uniformes. Els que s’acosten més, en general, a les designacions de l’escala de Douglas són: 0 mar calma, 1 mar plana, 2 mar arrissada o mar bonança, 3 marutxell, 4 marejada, 5 maror o mar grossa, 6 mar brava, 7 mar de capa, 8 i 9 mar desfeta. Sobre els noms que donen els pescadors a l’estat de la mar, es pot consultar el Vocabulari de pesca d’E. Roig i J. Amades (Butlletí de Dialectologia Catalana, gener-desembre 1926).']"
estat del temps,"['Conjunt de circumstàncies que caracteritzen la situació atmosfèrica en un moment i en un lloc determinats. En els meteos internacionals figuren com a dades importants l’estat del temps actual i el del passat (de les darreres hores). En particular, són tinguts en compte per a definir l’estat del temps, el vent i els hidrometeors.']"
estat del terreny,['Dada que figura en molts butlletins meteorològics i que s’especifica d’acord amb un codi internacional.']
estat higromètric,['Nom antiquat de la humitat relativa.']
estatoscopi,"['Microbarògraf que té com a òrgan sensible una bateria de càpsules de Vidi sense buidar, l’interior de les quals està en comunicació amb l’atmosfera, i l’espai exterior, que és una caixa tancada, s’hi pot posar cada vegada que la ploma inscriptora de l’aparell arriba a un dels extrems de la gràfica.']"
estegrama,"['Corba de la temperatura del termòmetre humit, en el tefigrama d’un sondatge atmosfèric.', 'Diagrama en el qual es representa la variació de la temperatura pseudopotencial del termòmetre humit en funció de la pressió atmosfèrica.']"
estel,['Grua.']
estel fallidor,['Meteor.']
deixant de condensació,['Contrail.']
deixant de dissipació,['Distrail.']
estepa,"['Gran planúria amb herba, però sense arbres, característica dels climes semiàrids.']"
estiu,"['Una de les estacions de l’any, que en meteorologia comprèn (a l’hemisferi nord) els mesos de juny, juliol i agost.']"
estiuet de Sant Martí,"['Període de bon temps temperat que, segons la dita popular, s’esdevé cada any cap a la diada de Sant Martí (11 de novembre). Essent freqüents a Catalunya les variacions del temps durant la tardor, qualsevol tongada de bonança i de tebior propera a l’11 de novembre es pot prendre com a «estiuet de Sant Martí».']"
estratus,['Núvol baix que constitueix un banc de núvols gris amb la base i la part superior uniformes i llises.']
estrat,['Estratus.']
estratificació,"['Distribució d’alguna propietat de l’aire en gruixos o capes aproximadament horitzontals, de manera que la variació d’aquella propietat es produeix gairebé exclusivament en direcció vertical.']"
estratocúmulus,"['Núvol inferior, en forma de sostre o bancs, fet de masses globulars o acanalades, del qual els més petits elements, que encara romanen disposats d’una manera regular, són grossos, difusos o grisos amb indrets foscos. La seva base és llisa. Quan formen bancs originen els anomenats mars de núvols vistos des de la part superior i tonalitats de gris diverses vistos des de sota.']"
estratocúmul,['Estratocúmulus.']
estratopausa,['Zona que separa l’estratosfera de la mesosfera.']
estratosfera,"['Regió de l’atmosfera situada sobre la troposfera, de gradient tèrmic molt petit o nul, en la qual, per consegüent, és molt gran l’estabilitat vertical, i no hi ha fenòmens de convecció. El límit inferior de l’estratosfera és variable; ordinàriament, es troba entre els 10 i els 18 km d’altitud.']"
estuf,"['Calor, pluja, etc., de gran intensitat i poca durada. S’aplica principalment als grans ruixats sobtats (pluja d’estuf, estuf d’aigua).']"
evaporació,"['Transformació de l’aigua o el glaç en vapor aquós (a la temperatura ambient, o per sota del punt d’ebullició).']"
evapotranspiració,"['Transferència de vapor d’aigua a l’atmosfera des del sòl, tant per l’evaporació directa de l’aigua superficial com de la transpiració de plantes i animals.']"
evapotranspiració de referència,"['Aigua evaporada i transpirada durant un període de temps per un sòl cobert d’una vegetació densa, baixa, homogènia, en plena activitat de desenvolupament, amb un subministrament òptim d’aigua, que cobreix completament el terreny i de notable extensió.']"
evapotranspiració potencial,"['Màxima quantitat d’aigua que es pot evaporar des d’un sòl completament cobert de vegetació, que es desenvolupa en condicions òptimes i sense limitacions en la disponibilitat d’aigua.']"
evapotranspiració real,['Quantitat d’aigua efectivament evaporada per evapotranspiració en condicions normals de desenvolupament de la capa vegetal i de disponibilitat hídrica.']
evaporímetre,"['Aparell per a mesurar la quantitat d’aigua que s’evapora a l’atmosfera, per unitat de temps i de superfície.']"
evaporòmetre,['Evaporímetre.']
evapotranspiròmetre,['Aparell que mesura l’evapotranspiració.']
evicció,"['Arrossegament d’una massa d’aire primitivament en calma per una altra dotada de moviment, o per cossos també en moviment que penetren en el seu interior. L’ascensió convectiva de l’aire calent, la caiguda de la pluja o l’estimbada d’una allau poden determinar en l’aire proper moviments d’evicció. També és arrossegada en evicció la zona turbulenta de transició d’una superfície frontal, per la massa d’aire més ràpida.']"
EUMETSAT,"['Sistema europeu de satèl·lits meteorològics geoestacionaris destinats a cobrir les necessitats específiques de la comunitat meteorològica europea. Acrònim de Organització Europea per a l’Explotació dels Satèl·lits Meteorològics (en anglès, European Organisation for the Exploitation of Meteorological Satellites).']"
exosfera,"['Capa de l’atmosfera, per sobre dels 500 km d’altitud, en la qual els gasos més lleugers es poden escapar de l’acció del camp gravitatori terrestre.']"
expansió,"['Augment de volum d’un gas, generalment per efecte de l’augment de temperatura o per disminució de la pressió.']"
exposició,"['Manera d’estar col·locat un instrument en relació amb els fets que ha de mesurar o revelar.', 'Situació i orientació d’una estació meteorològica en relació amb els mateixos fets.']"
exsicació,"['Disminució de la humitat d’un lloc per causes artificials; per exemple, per devastació dels boscos.']"
